camp,title,dates,status
Camp Bowman,Week 1,6/26-7/2,Open
Camp Bowman,Week 2,6/26-7/2,Open
Camp Bowman,Week 3,7/10-7/16,Open
Camp Bowman,Week 4,7/17-7/23,Open
Camp Bowman,Week 5,7/24-7-30,Open
Camp Bowman,Week 6,7/24-7-30,Open
Camp Marriott,Week 1,6/26-7/2,Open
Camp Marriott,Week 2,6/26-7/2,Open
Camp Marriott,Week 3,7/10-7/16,Open
Camp Marriott,Week 4,7/17-7/23,Open
Camp Marriott,Week 5,7/24-7-30,Open
Camp Marriott,Week 6,7/24-7-30,Open
Camp Olmsted,Week 1,6/26-7/2,Open
Camp Olmsted,Week 2,6/26-7/2,Open
Camp Olmsted,Week 3,7/10-7/16,Open
Camp Olmsted,Week 4,7/17-7/23,Open
Camp Olmsted,Week 5,7/24-7-30,Open
Camp Olmsted,Week 6,7/24-7-30,Open
Camp PMI,Week 1,6/26-7/2,Open
Camp PMI,Week 2,6/26-7/2,Open
Camp PMI,Week 3,7/10-7/16,Open
Camp PMI,Week 4,7/17-7/23,Open
Camp PMI,Week 5,7/24-7-30,Open
Camp PMI,Week 6,7/24-7-30,Open
Camp Ross,Week 1,6/26-7/2,Open
Camp Ross,Week 2,6/26-7/2,Open
Camp Ross,Week 3,7/10-7/16,Open
Camp Ross,Week 4,7/17-7/23,Open
Camp Ross,Week 5,7/24-7-30,Open
Camp Ross,Week 6,7/24-7-30,Open
Lenhok'sin,Week 1,6/26-7/2,Open
Lenhok'sin,Week 2,6/26-7/2,Open
Lenhok'sin,Week 3,7/10-7/16,Open
Lenhok'sin,Week 4,7/17-7/23,Open
Lenhok'sin,Week 5,7/24-7-30,Open
Lenhok'sin,Week 6,No Campers,Closed